Type,Benchmark,Task,Instruction,Images
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Replace the bookshelf with built-in floor-to-ceiling shelving,home_scene_006_Portaforta_Sectional_Sofa_Set_77_Convertible_Sofa_45_Lovesea.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Change the ceiling from flat white to exposed wooden beams,home_scene_000_Sponsored_Ad_-_CHITA_Curved_Sectional_Sofa_with_Lumbar_Pillo.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Swap the bedframe from wood to upholstered in gray velvet,home_scene_007_Sponsored_Ad_-_CARPETNAL_Farmhouse_Dresser_and_Nightstand_Se.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Change the wall color to a calming dusty blue,home_scene_008_Sponsored_Ad_-_BORNOON_9-Drawer_Dresser_for_Bedroom_Modern_W.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Replace the nightstands with floating wall-mounted shelves,home_scene_009_Sponsored_Ad_-_T4TREAM_Farmhouse_Queen_Size_Bed_Frame_with_5.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Change the bedding to a linen set in warm terracotta,home_scene_010_Sponsored_Ad_-_Fluted_Dresser_for_Bedroom_with_6_Drawers_48_.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Add a statement pendant light above the bed,home_scene_011_Kings_Brand_Furniture_Napa_Farmhouse_6-Piece_Bedroom_Set_-_B.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Replace the dresser with a mid-century modern walnut one,home_scene_012_LOUVIXA_Farmhouse_Bedroom_Sets_of_4_4Pcs_Farmhouse_Dresser_S.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Change the kitchen countertop from granite to white quartz,home_scene_013_Sponsored_Ad_-_Keyluv_Kitchen_Storage_Island_with_2_Stools_5.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Replace the kitchen island stools with woven rattan ones,home_scene_014_Sponsored_Ad_-_VATROS_26_H_Counter_Height_Bar_Stools_Set_of_.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Change the backsplash to white marble herringbone tile,home_scene_015_Sponsored_Ad_-_ONBRILL_Stationary_Kitchen_Islands_Include_2_.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Swap the kitchen faucet with a pull-down sprayer in brushed gold,home_scene_016_Sponsored_Ad_-_RIVOVA_Contemporary_Cream_Linen_Bar_Stools_Se.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Replace the cabinet hardware from silver to matte black handles,home_scene_017_Kitchen_Island_with_Storage_and_Seating_Include_2_Bar_Stools.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Swap the dining chairs with modern upholstered ones in cream,home_scene_027_Best_Choice_Products_5-Piece_Dining_Set_Compact_Mid-Century_.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Replace the dining table with a round marble-top version,home_scene_027_Best_Choice_Products_5-Piece_Dining_Set_Compact_Mid-Century_.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Change the light fixture to a modern sputnik chandelier,home_scene_027_Best_Choice_Products_5-Piece_Dining_Set_Compact_Mid-Century_.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Add a statement area rug under the dining table,home_scene_027_Best_Choice_Products_5-Piece_Dining_Set_Compact_Mid-Century_.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Replace the sideboard with a sleek walnut credenza,home_scene_027_Best_Choice_Products_5-Piece_Dining_Set_Compact_Mid-Century_.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Change the bathroom tiles from white to sage green subway tiles,home_scene_028_Sponsored_Ad_-_Bimno_LED_Bathroom_Mirror_48_x32_Wall-Mounted.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Replace the vanity mirror with a round gold-framed one,home_scene_029_Sponsored_Ad_-_Etemnozon_LED_Bathroom_Mirrors_with_Lights_24.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Change the shower head to a rainfall style in matte black,home_scene_030_Sponsored_Ad_-_Niccy_Led_Mirror_for_Bathroom_32_x20_Frameles.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Replace the desk with a standing desk in walnut finish,home_scene_036_Sponsored_Ad_-_SEDETA_Executive_Desk_61_Farmhouse_L_Shaped_D.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Change the office chair to a mid-century leather one,home_scene_037_Sponsored_Ad_-_LVB_Reversible_Gray_L_Shaped_Corner_Desk_Farm.jpg
Edit,Home Editing,"Modify specific elements of a home scene such as furniture, decor, color palette, or materials",Add built-in bookshelves along the wall behind the desk,home_scene_038_Sponsored_Ad_-_SEDETA_67_Farmhouse_L_Shaped_Desk_with_3_Draw.jpg
